pharmacy_id,pharmacy_name,city,state,channel
PH00464,Braun Pharmacy,Harrisberg,NY,Retail
PH00465,Khan Pharmacy,Erikview,IL,Retail
PH00466,Davis Pharmacy,Johnstad,IL,Retail
PH00467,Beck Pharmacy,North Randy,NJ,Retail
PH00468,Torres Pharmacy,South Diana,CA,Retail
PH00469,Padilla Pharmacy,East Thomasberg,TX,Retail
PH00470,Wheeler Pharmacy,Smithmouth,MA,Retail
PH00471,Montoya Pharmacy,Bensonfort,PA,Retail
PH00472,Jones Pharmacy,Davisville,PA,Mail Order
PH00473,Garcia Pharmacy,Nicoleberg,PA,Retail
PH00474,Reyes Pharmacy,Lake Victoria,PA,Specialty
PH00475,Thomas Pharmacy,New Debramouth,TX,Mail Order
PH00476,Bell Pharmacy,Lake Kaitlin,CA,Retail
PH00477,Gillespie Pharmacy,Heathland,MA,Retail
PH00478,Mosley Pharmacy,Port David,MA,Retail
PH00479,Blair Pharmacy,Sylviamouth,CA,Retail
PH00480,Moody Pharmacy,West Deanna,NJ,Mail Order
PH00481,Wright Pharmacy,Kimberlytown,NJ,Retail
PH00482,Abbott Pharmacy,Jamiehaven,TX,Mail Order
PH00483,Lopez Pharmacy,Phillipston,PA,Retail
PH00484,Bowers Pharmacy,South Paul,TX,Retail
PH00485,Allen Pharmacy,New Pamelatown,MA,Retail
PH00486,Hatfield Pharmacy,Davidshire,IL,Retail
PH00487,Fisher Pharmacy,Port Thomas,CA,Specialty
PH00488,Archer Pharmacy,North Brendatown,MA,Specialty
PH00489,Baker Pharmacy,North Stacyfurt,FL,Retail
PH00490,Hunter Pharmacy,Hendersonfurt,NY,Retail
PH00491,Miller Pharmacy,West Christopher,MA,Retail
PH00492,Miller Pharmacy,Port Eric,MA,Retail
PH00493,Murphy Pharmacy,West Hollybury,NY,Mail Order
PH00494,Brown Pharmacy,South Darrenton,NJ,Retail
PH00495,Parker Pharmacy,North Alexander,IL,Retail
PH00496,Taylor Pharmacy,East Tylerstad,NJ,Retail
PH00497,Mills Pharmacy,Garyberg,NJ,Retail
PH00498,Brady Pharmacy,Jessicaville,FL,Retail
PH00499,Wise Pharmacy,West Lindsayview,IL,Retail
PH00500,Warren Pharmacy,Jennifershire,MA,Mail Order
